from,to,weight
Platzeck,11,3
Platzeck,1,1
Pofalla,10,1
Pofalla,1,1
Praetorius,7,3
Praetorius,1,1
Tillich,9,1
Tillich,1,1
Hasselfeldt,10,1
Hasselfeldt,1,2
Kampeter,6,1
Kampeter,1,2
Kempf,5,1
Kempf,1,2
Nemat,5,1
Nemat,1,2
Reiche,8,1
Reiche,1,2
Roestel,6,1
Roestel,1,2
Schweitzer,2,1
Schweitzer,1,2
Grothus,8,2
Grothus,1,2
Wodtke,9,2
Wodtke,1,2
Herntier,8,1
Herntier,1,2
Kreuzberg,9,2
Kreuzberg,1,2
Priggen,12,1
Priggen,1,2
Vassiliadis,3,1
Vassiliadis,1,2
Scheidt,3,2
Scheidt,1,2
Koerzell,3,1
Koerzell,1,2
Kaiser,4,1
Kaiser,1,2
Weiger,4,1
Weiger,1,2
Niebert,4,1
Niebert,1,2
Allmedinger,7,1
Allmedinger,1,2
Matthes,7,2
Matthes,1,2
Schellnhuber,4,1
Schellnhuber,1,2
Niebuhr,7,2
Niebuhr,1,2
Wehrspohn,7,1
Wehrspohn,1,2
Laemmel,9,2
Laemmel,1,3
Lenz,9,3
Lenz,1,3
Miersch,11,3
Miersch,1,3
