Platzeck,to,weight,,,,,Platzeck,Platzeck
Pofalla,11,3,,,,,Pofalla,Pofalla
Praetorius,10,1,,,,,,
Tillich,7,3,,,,,,
Hasselfeldt,9,1,,,,,,
Kampeter,10,1,,,,,,
Kempf,6,1,,,,,,
Nemat,5,1,,,,,,
Reiche,5,1,,,,,,
Roestel,8,1,,,,,,
Schweitzer,6,1,,,,,,
Grothus,2,1,,,,,,
Wodtke,8,2,,,,,,
Herntier,9,2,,,,,,
Kreuzberg,8,1,,,,,,
Priggen,9,2,,,,,,
Vassiliadis,12,1,,,,,,
Scheidt,3,1,,,,,,
Koerzell,3,2,,,,,,
Kaiser,3,1,,,,,,
Weiger,4,1,,,,,,
Niebert,4,1,,,,,,
Allmendinger,4,1,,,,,,
Matthes,7,1,,,,,,
Schellnhuber,7,2,,,,,,
Niebuhr,4,1,,,,,,
Wehrspohn,7,2,,,,,,
Laemmel,7,1,,,,,,
Lenz,9,2,,,,,,
Miersch,9,3,,,,,,
,11,3,,,,,,
