from,to,weight
Platzeck,11,3
Pofalla,10,1
Pofalla,5,2
Praetorius,7,3
Praetorius,4,1
Tillich,9,1
Hasselfeldt,9,1
Hasselfeldt,4,3
Kampeter,2,1
Kampeter,9,2
Kempf,5,1
Nemat,5,1
Reiche,8,1
Reiche,9,3
Roestel,6,1
Roestel,12,1
Schweitzer,2,1
Grothus,8,2
Wodtke,9,2
Wodtke,8,
Herntier,8,1
Kreuzberg,9,2
Kreuzberg,8,2
Priggen,12,1
Vassiliadis,3,1
Vassiliadis,11,3
Scheidt,5,2
Scheidt,11,3
Koerzell,3,1
Koerzell,11,1
Kaiser,4,1
Weiger,4,1
Niebert,4,1
Niebert,3,1
Allmendinger,7,1
Matthes,7,2
Schellnhuber,4,1
Niebuhr,7,2
Wehrspohn,7,1
Laemmel,9,2
Laemmel,8,3
Lenz,9,3
Lenz,3,1
Miersch,11,3
