id,name,type,party,age,sex
Platzeck,Platzeck,0,11,4,1
Pofalla,Pofalla,0,9,4,1
Praetorius,Praetorius,0,NA,NA,2
Tillich,Tillich,0,9,4,1
Hasselfeldt,Hasselfeldt,0,10,4,2
Kampeter,Kampeter,0,10,3,1
Kempf,Kempf,0,NA,4,1
Nemat,Nemat,0,NA,3,2
Reiche,Reiche,0,9,2,2
Roestel,Roestel,0,12,3,2
Schweitzer,Schweitzer,0,NA,3,1
Grothus,Grothus,0,NA,NA,2
Wodtke,Wodtke,0,9,NA,2
Herntier,Herntier,0,NA,4,2
Kreuzberg,Kreuzberg,0,9,4,1
Priggen,Priggen,0,12,4,1
Vassiliadis,Vassiliadis,0,11,3,1
Scheidt,Scheidt,0,11,3,1
Koerzell,Koerzell,0,11,3,1
Kaiser,Kaiser,0,NA,3,1
Weiger,Weiger,0,NA,5,1
Niebert,Niebert,0,NA,1,1
Allmendinger,Allmendinger,0,NA,4,2
Matthes,Matthes,0,NA,3,1
Schellnhuber,Schellnhuber,0,NA,4,1
Niebuhr,Niebuhr,0,NA,NA,2
Wehrspohn,Wehrspohn,0,NA,2,1
Laemmel,Laemmel,0,9,3,1
Lenz,Lenz,0,10,1,1
Miersch,Miersch,0,11,2,1
2,Verband (Industrie),NA,NA,NA,NA
3,Gewerkschaft,NA,NA,NA,NA
4,Umweltschutz (Verband/NGO/Initiative),NA,NA,NA,NA
5,Industrie (Unternehmen aller Art),NA,NA,NA,NA
6,"Energieunternehmen (Kohle,Strom, Gas, Wasser)",NA,NA,NA,NA
7,"Wissenschaft (Universitäten, Forschungszentren, Institute",NA,NA,NA,NA
8,Regionalvertreter (auch Wählerverbünde),NA,NA,NA,NA
9,CDU,NA,NA,NA,NA
10,CSU,NA,NA,NA,NA
11,SPD,NA,NA,NA,NA
12,Gruene,NA,NA,NA,NA
